사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-12-01,2호선,34,서초,44,2,"1,198","4,237","7,246","18,435","14,156","46,164","23,004","117,370","24,470","87,059","18,949","35,247","24,238","27,175","23,105","21,294","29,682","24,292","31,330","22,402","36,742","19,483","43,634","21,125","71,020","22,311","96,805","24,375","40,916","16,493","26,036","9,650","29,750","11,420","15,672","8,122","4,101","3,559",3,55,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,35,방배,3,0,"2,081","2,755","8,474","10,572","19,941","24,890","29,772","71,419","23,359","45,947","17,458","23,326","17,930","19,724","19,986","20,022","22,645","21,965","24,028","21,902","26,722","22,070","31,305","23,832","40,974","29,699","63,355","36,679","26,207","25,950","19,996","16,122","21,565","17,640","13,583","12,814","4,153","5,980",6,111,1,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,36,사당,105,4,"10,466","3,390","23,382","25,109","66,276","37,659","96,654","61,570","68,032","46,862","42,933","39,163","39,278","44,018","46,318","45,345","47,350","46,550","49,318","47,392","50,773","56,613","56,729","74,315","68,470","105,638","87,137","147,274","55,843","100,185","53,422","58,744","65,341","66,052","41,726","48,603","16,300","26,839",79,"2,247",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,37,낙성대(강감찬),15,1,"10,221","1,782","24,593","8,408","72,941","17,203","122,885","36,408","76,532","28,521","41,318","23,301","34,340","21,784","37,552","25,863","37,419","27,106","34,111","30,792","34,716","34,251","39,656","43,085","44,223","58,622","46,804","95,057","25,409","79,991","19,864","51,984","20,313","57,715","12,849","46,580","4,646","21,276",9,"1,954",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,38,서울대입구(관악구청),"4,568",24,"25,855","2,209","40,077","13,154","117,947","27,493","174,453","63,518","113,766","56,014","65,092","48,391","57,370","44,714","63,463","48,925","64,535","58,077","61,593","58,709","66,264","64,541","75,620","82,091","82,708","109,067","87,468","172,073","51,185","137,659","46,647","81,092","51,139","88,792","33,944","69,452","11,440","34,862",17,"9,079",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,39,봉천,47,1,"14,329","1,107","26,636","6,588","73,810","10,641","118,579","25,416","68,795","18,850","36,473","18,447","30,658","18,775","32,070","20,372","32,098","24,248","27,895","27,368","26,807","32,696","29,521","39,914","29,722","52,872","31,817","82,929","17,536","67,719","14,051","42,066","13,473","46,857","8,798","33,809","2,784","17,067",2,321,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,40,신림,283,14,"37,540","3,284","73,292","18,656","194,500","34,018","311,612","62,169","182,628","48,665","94,669","43,835","77,731","46,197","82,043","53,449","79,470","62,419","73,118","69,469","73,198","84,310","82,539","107,506","91,079","147,176","87,335","249,815","52,432","210,997","46,474","129,230","48,373","142,221","33,734","105,787","11,757","58,730",35,409,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,41,신대방,159,2,"23,226","1,929","33,642","8,346","82,935","18,108","129,832","30,999","75,786","21,308","41,147","17,761","32,957","18,402","32,985","21,410","32,518","23,947","29,249","28,116","29,486","37,888","32,000","43,068","35,826","61,745","39,643","93,098","20,910","77,919","15,445","52,508","12,569","63,940","8,424","46,318","3,070","24,493",2,146,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,42,구로디지털단지,189,4,"35,938","5,067","50,662","22,065","127,991","82,922","181,460","255,587","107,057","145,979","61,037","56,436","55,511","43,231","61,444","45,971","63,825","54,487","60,412","55,180","64,305","64,404","75,942","75,513","130,266","105,968","228,606","160,467","102,165","122,599","61,542","77,830","57,096","90,291","33,477","67,545","10,386","36,322",18,292,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,43,대림(구로구청),522,8,"31,201","3,501","29,640","11,200","61,853","21,483","90,255","56,203","57,671","32,280","32,687","26,139","27,661","26,723","30,417","26,674","30,621","29,174","28,787","30,653","30,095","37,619","33,696","43,392","43,043","58,399","50,051","68,271","23,855","49,392","17,095","35,498","14,515","50,470","9,044","36,822","3,116","16,108",3,719,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,44,신도림,"3,445",14,"30,935","4,532","46,287","16,681","125,051","35,943","131,535","108,561","81,030","59,019","53,137","56,889","52,268","52,792","60,106","57,588","61,960","61,089","62,797","60,592","66,366","68,020","74,796","79,198","92,980","103,661","119,550","165,637","65,519","113,247","57,836","65,192","63,132","75,393","35,900","56,559","10,971","35,849",44,"10,378",0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,45,문래,5,1,"3,443","2,319","11,194","12,400","39,086","32,624","46,003","127,657","25,261","55,864","17,557","22,564","17,337","19,558","19,928","21,719","22,432","21,750","23,080","21,804","24,837","22,659","33,606","25,785","58,448","33,607","103,842","52,568","34,679","35,435","25,096","18,455","29,160","20,262","14,509","13,668","4,794","7,038",5,535,0,0,0,1,0,0,2022-01-03 10:00
2021-12-01,2호선,46,영등포구청,48,1,"5,017","2,807","11,411","12,772","36,839","35,523","46,113","129,341","28,564","56,928","22,897","27,174","23,721","24,594","26,512","24,968","26,877","27,176","29,783","26,368","32,683","26,547","38,259","30,230","58,392","35,695","105,902","53,202","36,210","34,431","27,197","19,804","28,383","21,923","14,767","15,363","4,835","9,333",18,578,0,0,0,0,0,0,2022-01-03 10:00
